name,cname,string,http
acquia,acquia.com,If you are an Acquia Cloud customer and expect to see your site at this address,FALSE
acquia,acquia-test.com,If you are an Acquia Cloud customer and expect to see your site at this address,FALSE
acquia,acquia.com,The site you are looking for could not be found,FALSE
acquia,acquia-test.com,The site you are looking for could not be found,FALSE
aftership,aftership.com,The page you're looking for doesn't exist,FALSE
aha,aha.io,There is no portal here ... sending you back to Aha!,FALSE
airee,airee.ru,Ошибка 402,FALSE
apigee,apigee.net,,FALSE
amazonaws,amazonaws.com,NoSuchBucket,FALSE
amazonaws,amazonaws.com,The specified bucket does not exist,FALSE
amazonaws,s3-website,NoSuchBucket,FALSE
amazonaws,s3-website,The specified bucket does not exist,FALSE
azure,azurewebsites.net,404 Web Site not found,FALSE
azure,cloudapp.net,404 Web Site not found,FALSE
azure,azure.com,404 Web Site not found,FALSE
azure,azure-api.net,404 Web Site not found,FALSE
azure,azurehdinsight.net,404 Web Site not found,FALSE
azure,azureedge.net,404 Web Site not found,FALSE
azure,azurecontainer.io,404 Web Site not found,FALSE
azure,azuredatalakestore.net,404 Web Site not found,FALSE
azure,azurecr.io,404 Web Site not found,FALSE
azure,trafficmanager.net,404 Web Site not found,FALSE
azure,windows.net,404 Web Site not found,FALSE
azure,visualstudio.com,404 Web Site not found,FALSE
bitbucket,bitbucket.io,Repository not found,TRUE
brightcove,bcvp0rtal.com,Error Code: 404</p>,FALSE
brightcove,brightcove.com,Error Code: 404</p>,FALSE
bigcartel,bigcartel.com,Oops! We could't find that page,FALSE
campaignmonitor,createsend.com,Double check the URL,FALSE
campaignmonitor,createsend.com,Trying to access your account?,FALSE
cargocollective,cargocollective.com,404 Not Found,FALSE
cloudfront,cloudfront.net,The request could not be satisfied,FALSE
digitaloceanspaces,digitaloceanspaces.com,</BucketName><RequestId>tx000000000000,FALSE
feedpress,redirect.feedpress.me,The feed has not been found,FALSE
fly,fly.io,404 Not Found,FALSE
fly,shw.io,404 Not Found,FALSE
frontify,frontify.com,Oops... looks like you got lost,FALSE
getresponse,gr8.com,With GetResponse Landing Pages,FALSE
ghost,ghost.io,The thing you were looking for is no longer here,FALSE
github,github,There isn't a GitHub Pages site here.,FALSE
github,github,For root URLs (like http://example.com/) you must provide an index.html file,FALSE
google,google.com,The requested URL / was not found on this server. That's all we know,FALSE
hatenablog,hatenablog.com,404 Blog is not found,FALSE
helprace,helprace.com,Alias not configured,FALSE
helpjuice,helpjuice.com,We could not find what you're looking for.,FALSE
helpscout,helpscoutdocs.com,No settings were found for this company:,FALSE
heroku,heroku,There's nothing here,TRUE
heroku,heroku,No such app,TRUE
instapage,pageserve.co,You've Discovered A Missing Link. Our Apologies!,FALSE
intercom,intercom.io,Uh oh. That page doesn't exist.,FALSE
intercom,intercom.io,This page is reserved for artistic dogs,FALSE
jetbrains,myjetbrains.com,is not a registered InCloud YouTrack,FALSE
kinsta,kinsta.com,No Site For Domain,FALSE
landingi,landingi.com,It looks like you're lost,FALSE
launchrock,launchrock.com,It looks like you may have taken a wrong turn somewhere,FALSE
mashery,mashery.com,Unrecognized domain,FALSE
naver,naver.com,개인도메인 설정이 완료되지 않았습니다,FALSE
pantheon,pantheonsite.io,The gods are wise,FALSE
pantheon,pantheon.io,404 error unknown site,FALSE
pingdom,stats.pingdom.com,pingdom,FALSE
readme,readme.io,Project doesnt exist... yet!,FALSE
readme,readmessl.com,Project doesnt exist... yet!,FALSE
shopify,myshopify.com,Only one step left!,FALSE
shopify,myshopify.com,"Sorry, this shop is currently unavailable.",FALSE
simplebooklet,simplebooklet.com,We can't find this,FALSE
smartling,smartling.com,Domain is not configured,FALSE
strikingly,strikinglydns.com,page not found,FALSE
strikingly,strikinglydns.com,But if you're looking to build your own website,FALSE
surge,surge.sh,project not found,FALSE
surveygizmo-eu,surveygizmo.eu,data-html-name,FALSE
teamwork,teamwork.com,Oops - We didn't find your site.,FALSE
tictail,tictail.com,Building a brand of your own?,FALSE
tictail,tictail.com,Start selling on Tictail,FALSE
tictail,tictail.com,to target URL:,FALSE
tistory,tistory.io,존재하지 않는 페이지 입니다,FALSE
tilda,tilda.ws,Domain has been assigned,FALSE
tilda,tilda.cc,Domain has been assigned,FALSE
tilda,tilda.ws,Please renew your subscription,false
tilda,tilda.cc,Please renew your subscription,false
tumblr,tumblr.com,There's nothing here.,TRUE
tumblr,tumblr.com,Whatever you were looking for doesn't currently exist at this address,TRUE
uptimerobot,uptimerobot.com,Redirecting to,FALSE
uservoice,uservoice.com,This UserVoice subdomain is currently available!,FALSE
vend,vendcommerce.com,Looks like you've traveled too far into cyberspace,FALSE
webflow,webflow.com,The page you are looking for doesn't exist or has been moved,FALSE
wordpress,wordpress,Domain mapping upgrade for this domain not found,FALSE
wordpress,wordpress,Do you want to register *.wordpress.com?,FALSE
zendesk,zendesk.com,Help Center Closed,FALSE